replicate,Condition,Round,week,pfu_per_cell_36h_auc,ui_ciliated,ui_secretory,ui_basal,ui_triple.neg,ui_cd66c.pos.other,ui_cd66c.neg.other,ui_goblet,ui_cd271.pos.ciliated,ui_cd66c.pos.basal,scaled_inf_ciliated,scaled_inf_secretory,scaled_inf_basal,scaled_inf_triple.neg,scaled_inf_cd66c.pos.other,scaled_inf_cd66c.neg.other,scaled_inf_goblet,scaled_inf_cd271.pos.ciliated,scaled_inf_cd66c.pos.basal
A,pneumacult,3,3,171.6,28.5,12.2,38,0.745,7.745,6.935,0.0905,0.225,1.675,10.65820639,0.984256735,0.22351647,0.725448191,0.712899898,0.311354521,0.001254829,1.203851863,0.0792111
B,il13_low,3,3,0.61554,24.8,25.45,12.7,1.79,13.35,11.67,1.145,0.525,1.535,2.276945573,0.864662876,0.012009207,0.215445167,0.811822367,0.102558624,0.03194449,0.107602491,0.012009207
C,il13_high,3,3,12.5518,22.15,36.3,9.795,3.545,11.5,5.865,2.485,0.3,0.65,2.579622459,1.358624688,0.047287197,0.517688939,1.344509106,0.173268759,0.138332695,0.103043743,0.007622414
D,pneumacult,4,3,364.16,13.275,11.65,35,0.5725,11.6,18.775,0.4625,0.295,0.99,9.361749547,2.648465432,1.165900543,1.762956772,0.655783071,0.172726006,0.007484794,0.488814598,0.26945257
E,il13_low,4,3,60.546,13.56666667,19.26666667,13.63333333,4.163333333,8.58,27.73333333,2.066666667,0.176666667,0.813333333,0.2842913,0.426996579,0.191001222,0.169343597,0.17605914,0.072919599,0.032402493,0.08646261,0.087190127
F,il13_high,4,3,11.015,11.3725,19.3,16.95,9.7275,10.795,13.325,7.665,0.052,0.9975,0.548849797,1.619529093,0.068057375,0.288779432,0.208900677,0.033606495,0.239636265,0.055222733,0.057418133
G,pneumacult,7,3,142.208,6.713333333,18.5,21.63333333,10.01333333,18.1,17.03333333,0.038,0.446666667,0.773333333,8.126764481,4.516758223,0.126378555,0.838745567,1.78290105,0.041937278,0.078207357,0.647760935,0.140546554
H,il13_low,7,3,7.35038,12.03,29.63333333,2.583333333,39.76666667,5.97,3.48,0.97,0.44,0.383333333,5.180924459,2.387039429,0.006674811,0.691637523,0.225990018,0.007946203,0.440219655,0.127774947,0.038459623
I,il13_high,7,3,0.36306,3.61,33.65,1.11,55.05,0.77,0.615,1.45,0.096,0.07,0.413738476,0.082768708,0.001491896,0.047782696,0.003088855,0.001491896,0.019079458,0.01500301,0.008888338
J,dapt,7,3,146.52,41.66666667,0.543333333,53.16666667,0.7,0.433333333,0.4,0.023,0.47,1.896666667,5.367202341,0.066044564,0.070082223,0.293018677,0.028263613,0.042683823,0.001211298,2.442783655,0.008709807
K,lonza,7,3,44.4,3.78,21.26666667,47.16666667,1.413333333,8.486666667,4.553333333,0.004716667,0.166666667,5.273333333,2.316290484,9.290841429,0.471475535,0.234196998,1.129384207,0.172566209,0.003081539,0.024755034,0.324075232
L,nasal_pneumacult,7,3,47.634,20.63333333,45.23333333,8.316666667,5.746666667,2.383333333,11.08666667,0.077333333,0.22,0.55,8.087555263,3.315950209,0.095642304,0.59487411,1.109871132,0.466650362,0.026012605,0.204947794,0.065162888
M,pneumacult,7,1,62.644,2,20.36666667,23.93333333,0.723333333,26.63333333,15.96666667,0.00695,0.196666667,3.62,0.83215633,3.627526065,0.074262492,0.100636087,1.438980365,0.082359648,0.003493345,0.072180366,0.27507197
N,lonza,7,1,12.8548,1.69,10.59333333,47.5,4.323333333,12.36666667,4.463333333,0.014853333,0.116666667,11.56666667,0.878797612,2.248828735,0.134770233,0.084689933,0.553435157,0.044817083,0.005119674,0.032057771,0.337483802
O,pneumacult,9,3,222.66,13.73333333,13.6,32.46666667,0.383333333,8.94,24.23333333,0.096,0.536666667,0.823333333,4.429415073,0.676092964,0.173938388,0.176714001,0.263451894,0.069852917,0.010339157,0.807240658,0.069621616
P,il13_low,9,3,86.238,4.51,23.55,29.4,1.22,9.225,18.3,0.825,2.165,3.64,3.38623302,5.455317279,0.304306783,0.499103496,1.812215019,0.211954973,0.249299421,1.272739147,0.97549753
Q,il13_high,9,3,8.5806,13.53333333,35.6,1.44,5.136666667,5.563333333,22.86666667,4.813333333,0.077,0.149333333,8.150331597,4.497639522,0.019208122,0.54003163,0.914222643,0.064027074,0.536882757,0.092366926,0.051956396
R,dapt,9,3,147.52,15.03333333,1.58,74.3,0.266666667,1.52,2.243333333,0.082333333,0.583333333,2.623333333,9.188223899,0.394901843,0.196579174,0.257601533,0.170862608,0.107660878,0.010635326,2.371154555,0.082380186
S,lonza,9,3,13.3058,10.81,41.86666667,17.9,3.87,3.526666667,12.3,0.116333333,0.065333333,0.156666667,0.742072361,3.386056263,1.385065548,0.160365259,3.866130605,1.280368485,0.053523182,0.266083758,2.160334539