Sample,condition,moi,timepoint,cell_type,subset,replicate
SRR25779478,A,0,0,nhtbe,ciliated,1
SRR25779477,A,0,0,nhtbe,ciliated,2
SRR25779466,A,0,0,nhtbe,ciliated,3
SRR25779455,A,0,0,nhtbe,ciliated,4
SRR25779438,C,0.5,12,nhtbe,ciliated,1
SRR25779437,C,0.5,12,nhtbe,ciliated,2
SRR25779476,C,0.5,12,nhtbe,ciliated,3
SRR25779475,C,0.5,12,nhtbe,ciliated,4
SRR25779444,E,0.5,6,nhtbe,ciliated,1
SRR25779441,E,0.5,6,nhtbe,ciliated,2
SRR25779440,E,0.5,6,nhtbe,ciliated,3
SRR25779439,E,0.5,6,nhtbe,ciliated,4
SRR25779474,F,0,0,nhtbe,secretory,1
SRR25779473,F,0,0,nhtbe,secretory,2
SRR25779472,F,0,0,nhtbe,secretory,3
SRR25779471,F,0,0,nhtbe,secretory,4
SRR25779465,H,0.5,12,nhtbe,secretory,1
SRR25779464,H,0.5,12,nhtbe,secretory,2
SRR25779463,H,0.5,12,nhtbe,secretory,3
SRR25779462,H,0.5,12,nhtbe,secretory,4
SRR25779470,J,0.5,6,nhtbe,secretory,1
SRR25779469,J,0.5,6,nhtbe,secretory,2
SRR25779468,J,0.5,6,nhtbe,secretory,3
SRR25779467,J,0.5,6,nhtbe,secretory,4